Document No,Document Date,PO No,SO No,Storage Location,Model,Unit Type,HP,Serial Number
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K007268
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K007269
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K007270
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K007272
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K007277
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K006950
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K007009
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K007011
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K007012
8010356027,01/08/2026,636,1010255637,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K007015
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015750
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015771
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015772
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015773
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015774
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015775
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015777
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015778
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015784
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015792
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015842
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015853
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K015858
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K016492
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K016496
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K010979
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013590
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013592
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013618
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013622
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013626
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013630
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013635
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013638
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013639
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013640
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013644
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K013759
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014242
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014248
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014554
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014562
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014568
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014571
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K014703
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011423
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011441
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012144
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012278
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012280
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012281
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012282
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012286
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012288
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012289
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012290
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012292
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012295
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012334
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K012336
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014057
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014062
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014063
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014260
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014276
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014278
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014281
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K014282
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015848
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016027
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016085
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016087
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016088
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016089
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016090
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016092
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016093
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016096
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016097
8010356386,01/10/2026,638,1010256090,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K016101
8010356597,01/12/2026,639,1010256206,MVC DavaoTG,FHFC100AVM,indoor,4.0HP,E003916
8010356597,01/12/2026,639,1010256206,MVC DavaoTG,FHFC100AVM,indoor,4.0HP,E003918
8010356597,01/12/2026,639,1010256206,MVC DavaoTG,RZFC100BXVM,outdoor,4.0HP,K009010
8010356597,01/12/2026,639,1010256206,MVC DavaoTG,RZFC100BXVM,outdoor,4.0HP,K009119
8010356603,01/12/2026,640,1010256203,MVC DavaoTG,FVFC140BXVA,indoor,6.0HP,K004802
8010356603,01/12/2026,640,1010256203,MVC DavaoTG,RZFC140BXVM,outdoor,6.0HP,K007550
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K006287
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K006297
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K006306
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K006307
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,FTKQ60CVAF,indoor,2.5HP,K006308
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K005445
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K006794
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K006796
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K006799
8010356839,01/13/2026,641,1010256439,MVC DavaoTG,RKQ60CVA,outdoor,2.5HP,K006800
8010357709,01/16/2026,642,1010257094,MVC DavaoTG,FVFC71BXVA,indoor,3.0HP,K001192
8010357709,01/16/2026,642,1010257094,MVC DavaoTG,RZFC71BXVM,outdoor,3.0HP,K002474
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,FTKQ50CVAF,indoor,2.0HP,K006180
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,FTKQ50CVAF,indoor,2.0HP,K006186
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,FTKQ50CVAF,indoor,2.0HP,K006198
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,FTKQ50CVAF,indoor,2.0HP,K006200
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,FTKQ50CVAF,indoor,2.0HP,K008986
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,RKQ50CVA,outdoor,2.0HP,K007767
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,RKQ50CVA,outdoor,2.0HP,K007769
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,RKQ50CVA,outdoor,2.0HP,K007788
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,RKQ50CVA,outdoor,2.0HP,K007806
8010357874,01/16/2026,643,1010257214,MVC DavaoTG,RKQ50CVA,outdoor,2.0HP,K007809
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002946
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002948
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002949
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002957
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002961
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002786
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002790
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002791
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002792
8010359192,01/23/2026,648,1010258268,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002810
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010463
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010470
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010472
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010474
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010491
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010494
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010497
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010548
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K010549
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K011790
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K011796
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K011800
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K011805
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K013084
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE25AVA,indoor,1.0HP,K013094
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015586
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015597
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015625
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015626
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015627
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015665
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015667
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015681
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015682
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE35AVA,indoor,1.5HP,K015689
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K002187
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003686
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003691
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003694
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003697
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003700
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKE50AVA,indoor,2.0HP,K003705
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKQ71CVAF,indoor,3.0HP,K003548
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKQ71CVAF,indoor,3.0HP,K003584
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKQ71CVAF,indoor,3.0HP,K003588
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKQ71CVAF,indoor,3.0HP,K003591
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,FTKQ71CVAF,indoor,3.0HP,K003614
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K009657
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K009973
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K010693
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K010703
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K010704
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011436
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011442
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011445
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011447
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011560
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011564
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011567
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011575
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011576
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE25AVA,outdoor,1.0HP,K011579
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015713
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015714
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015715
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015724
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015968
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015971
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015983
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015984
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015986
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE35AVA,outdoor,1.5HP,K015991
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002878
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002880
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002882
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K002883
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K003092
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K003404
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKE50AVA,outdoor,2.0HP,K003626
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKQ71CVA,outdoor,3.0HP,K004148
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKQ71CVA,outdoor,3.0HP,K004151
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKQ71CVA,outdoor,3.0HP,K004153
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKQ71CVA,outdoor,3.0HP,K004266
8010361059,01/31/2026,650,1010259781,MVC DavaoTG,RKQ71CVA,outdoor,3.0HP,K004269
8010362078,02/06/2026,653,1010260605,MVC DavaoTG,FTKZ71WVM,indoor,3.0HP,E001345
8010362078,02/06/2026,653,1010260605,MVC DavaoTG,RKZ71WVM,outdoor,3.0HP,E001484
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003294
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003325
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003326
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003327
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003329
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003330
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003333
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003337
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003339
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003341
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003343
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003345
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003348
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003364
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003368
8010361871,02/09/2026,652,1010260427,MVC CDOTG,FTKF50CVA,indoor,2.0HP,K003369
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K002464
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K003228
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K003250
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K003252
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K003266
8010361871,02/09/2026,652,1010260427,MVC CDOTG,RKF50CVA,outdoor,2.0HP,K003268
